"title","subjectCode","courseNum","credit"
"TOPICS IN CIVIL ENGR I","CIVI","691","4.0"
"Assurance and Professional Practice","ACCO","654","4.0"
"SOFTWARE QUALITY ASSURANCE","INSE","6260","4.0"
"SOFTWARE MINING AND ANALYSIS","SOEN","6591","4.0"
"SEL.TOPIC-ENVIR L & ECOTOX.I","CHEM","581","4.0"
"Thermal Building Simulation","BLDG","6791","4.0"
"MIXED-SIGNAL VLSI FOR COMMUNICATION SYSTEMS","ELEC","6071","4.0"
"Applied Probability and Statistics for Engineers (4 credits)","INDU","6310","4.0"
"DISCRETE STR.+FORMAL LANG.","COMP","5361","4.0"
"Tutorial in Taxation/Decision making","ACCO","605","4.0"
"ENGINEERING ANALYSIS","ENCS","6021","4.0"
"VIBR. PROB. IN ROTAT. MACH.","MECH","6301","4.0"
"TOPICS IN ENGINEERING I","ENGR","691","4.0"
"Web Services and Applications","SOEN","487","4.0"
"SPEC MASTER'S LEVEL STUDIES","SPEC","647","4.0"
"SEL TOPICS/COMPUTAT'L ALGEB","MATH","834","4.0"
"MODEL DRIVEN SOFTWARE ENGR.","COEN","6312","4.0"
"LINEAR MODELS","MATH","677","4.0"
"DISCRETE EVENT SYSTEMS","ELEC","6091","4.0"
"BIOLOGICAL SIGNAL PROCESSING","ELEC","6671","4.0"
"COMBINATORIAL ALGORITHMS","COMP","6661","4.0"
"ADVANCED PROGRAMMING","COMP","5421","4.0"
"BUILDING ILLUMINATION","BLDG","6731","4.0"
"LABOUR+IND L REL/CONSTRUCT N","BLDG","6811","4.0"
"CRYPTO PROTOCOL & NETWK SECT","INSE","6120","4.0"
"CHEM ENG PROC DYN & CONTROL","CHME","6041","4.0"
"TOPICS IN ALGEBRA","MATH","699","4.0"
"MATERIALS SCIENCE AND ENGINEERING","CHME","6071","4.0"
"GAS DYNAMICS","MECH","6111","4.0"
"INTRODUCTION TO ANALOG VLSI","ELEC","6051","4.0"
"TOPICS IN ELECTRICAL ENGG.II","ELEC","791","4.0"
"TWO-DIMEN'AL SIG & IMAGE PRO","ELEC","6641","4.0"
"COMP. ORGANIZ N+ASSEMB.LANG.","COMP","5201","4.0"
"COMP.AIDED BUILD. DESIGN","BLDG","6591","4.0"
"SELECTED TOPICS IN BIOCHEM.","CHEM","675","4.0"
"FOUNDATIONS OF CRYPTOGRAPHY","INSE","6110","4.0"
"EMBEDDED SYSTEM MODELLING","COEN","6341","4.0"
"EARTH STRUCT+SLOPE STABIL Y.","CIVI","6511","4.0"
"INFO SYS/INTERNAL CONTROL","ACCO","653","4.0"
"BROADCAST SIGNAL TRANSMISSION","ELEC","6891","4.0"
"THEORY OF OPERATION RESEARCH","INDU","6111","4.0"
"HEAT TRANSFER","BLDG","6541","4.0"
"FIBEROPTIC COMM.SYS.& NETWKS","ELEC","6871","4.0"
"Image Processing","COMP","478","4.0"
"GUIDED VEHICLE SYSTEMS","MECH","6781","4.0"
"PROGRAMMING ON THE CLOUD","COEN","6313","4.0"
"AERODYNAMICS","MECH","6121","4.0"
"COMPUTER ARCHITECTURE+DESIGN","COEN","6741","4.0"
"Pavement Management Systems","CIVI","6461","4.0"
"SECURITY EVAL. METHODOLOGIES","INSE","6150","4.0"
"MODELING TURBULENT FLOWS","ENGR","6281","4.0"
"PROCESS DYNAMICS+CONTROL","MECH","6051","4.0"
"MIXED-SIGNAL VLSI FOR COMMUNICATION SYSTEMS","ELEC","413","4.0"
"COMPUTER VISION","COMP","425","4.0"
"ADVANCED BATTERY MATERIALS AND TECHNOLOGIES","CHME","6101","4.0"
"FUNDAMENTALS OF FINITE ELEMENT ANALYSIS OF STRUCTURES","ENGR","6511","4.0"
"PRINCIPLES OF SOLAR ENGG.","ENGR","6601","4.0"
"LEAN ENTERPRISE","INDU","6221","4.0"
"GAS TURBINE DESIGN","MECH","6161","4.0"
"Information Retrieval and Web Search","COMP","479","4.0"
"TOPICS IN MECHANICAL ENGINEERING I - COATING AND SURFACE ENGINEERING","MECH","691H","4.0"
"Operating Systems","COMP","346","4.0"
"DIGITAL FILTERS","ELEC","6611","4.0"
"LINEAR SYSTEMS","ENGR","6131","4.0"
"SPEC MASTER'S LEVEL STUDIES","SPEC","648","4.0"
"HAZARDOUS WASTE MANAGEMENT","CIVI","6481","4.0"
"SEL TOP/MATHEMATICAL PHYSICS","MATH","856","4.0"
"TOPICS/COMPUTER ENGINEERING","COEN","691","4.0"
"Fundamentals and Applications of Cyber-Physical Systems","INSE","6710","4.0"
"The Finite Element Method in Structural Mechanics","ENGR","6531","4.0"
"INTRO TO A.I.","COMP","6721","4.0"
"Bioinformatics Databases and Systems","COMP","6821","4.0"
"DISCRETE SYSTEM SIMULATION","INDU","6311","4.0"
"DESIGN FOR TESTABILITY","COEN","6521","4.0"
"PROB.+STOCHASTIC PROCESSES","ENCS","6161","4.0"
"DESIGN/INDUSTRIAL CTRL. SYS.","MECH","6021","4.0"
"Tutorial in Assurance and Professional Practice","ACCO","604","4.0"
"TOPICS IN ENGINEERING & COMPUTER SCIENCE 1","ENCS","691","4.0"
"Editing Principles for Graduate Students","GPSC","483","4.0"
"SEISMIC ASS. & RET. OF STRUC","CIVI","6031","4.0"
"CASTING","MECH","6531","4.0"
"HEAT EXCHANGER DESIGN","MECH","6141","4.0"
"TUT/INTEGRATED APPRO/AUDIT G","ACCO","635T","4.0"
"SUSTAINABLE INFRASTRUCTURE","INSE","6311","4.0"
"Pattern Recognition","COMP","473","4.0"
"SEL TOP/PROBAB,STAT,ACTU MAT","MATH","881","4.0"
"AIRCRAFT HYDRO-MECHANICAL AND FUEL SYSTEMS","MECH","6791","4.0"
"PROJECT AND REPORT I","ENGR","6971","4.0"
"FATE+TRANSP./CONTAMIN./ENVT.","CIVI","6671","4.0"
"ADV. COMPUTER ARCHITECTURE","COEN","7741","4.0"
"BIG DATA ANALYTICS","SOEN","6111","4.0"
"LARGE-SCALE OPTIMIZATION","COMP","6631","4.0"
"Project and Report","COMP","6971","4.0"
"URBAN TRANSPORTATION PLAN.","CIVI","6411","4.0"
"ANALYTICAL METH ECOTOXICOLOG","CHEM","618","4.0"
"CONSTRUCTION PROCESSES","BLDG","6831","4.0"
"PRIN. OF SLID ST NA.DEV","ELEC","6281","4.0"
"PARALLEL PROGRAMMING","COMP","6281","4.0"
"AIRCRAFT PNEUMATIC AND ELECTRICAL POWER SYSTEM","MECH","6891","4.0"
"AIRCRAFT STRUCTURES","MECH","6471","4.0"
"MEDICAL IMAGE PROCESSING","ELEC","6661","4.0"
"MODERN BUILDING MATERIALS","BLDG","6621","4.0"
"MODERN ANALOG FILTER DESIGN","ELEC","6081","4.0"
"STRUCTURAL HEALTH MONITORING","CIVI","6061","4.0"
"MODEL. + ANAL. OF TELE. NET.","ELEC","6171","4.0"
"Parallel Programming","COMP","428","4.0"
"Designing an Academic Poster","GPSC","431","4.0"
"SOFTWARE REFACTORING","SOEN","6491","4.0"
"Introduction to Software Engineering","COMP","354","4.0"
"DECISION MODELS/SERV. SEC","INDU","6151","4.0"
